Scenario,Pollutant,Horizon,MAE,Crisis_MAE,RMSE,R2
No Wind (Transport),PM2.5,60,2.612801,11.0144205,5.219752,0.23873425
No Wind (Transport),O3,66,7.1462383,7.6277404,9.449791,0.37687457
No Wind (Transport),SO2,66,0.33930153,5.664757,0.55919695,0.25771654
No Wind (Transport),CO,66,0.10908219,0.2139338,0.14173557,0.23112595
No Wind (Transport),NO2,66,3.4155796,6.818631,4.9244943,0.3432359
No Wind (Transport),PM10,66,9.819716,16.886057,27.761295,0.17568243
No Wind (Transport),PM2.5,66,2.7516603,10.123945,5.3317485,0.20204318
No Wind (Transport),O3,72,7.1763086,8.076394,9.410757,0.38650703
No Wind (Transport),SO2,72,0.33992687,5.6697483,0.55774504,0.25687546
No Wind (Transport),CO,72,0.10356873,0.25544998,0.13628188,0.28445178
No Wind (Transport),NO2,72,3.3286967,7.7730846,4.817516,0.37035388
No Wind (Transport),PM10,72,9.876924,17.239492,28.262606,0.14631647
No Wind (Transport),PM2.5,72,2.678737,10.763069,5.266406,0.22096199
No Thermals (Heat),O3,6,7.275451,9.572365,9.073377,0.36798114
No Thermals (Heat),SO2,6,0.33142334,5.811902,0.56392497,0.2746929
No Thermals (Heat),CO,6,0.101935335,0.24271753,0.13510522,0.33680987
No Thermals (Heat),NO2,6,3.3281634,7.1579347,4.7808933,0.39648426
No Thermals (Heat),PM10,6,9.325161,17.029696,27.438131,0.19988745
No Thermals (Heat),PM2.5,6,2.7430396,8.7846985,5.2223163,0.26476848
No Thermals (Heat),O3,12,7.425348,7.7259083,9.3258705,0.34135312
No Thermals (Heat),SO2,12,0.3373095,5.7006407,0.56410295,0.272945
No Thermals (Heat),CO,12,0.103666015,0.24331622,0.13636924,0.3243522
No Thermals (Heat),NO2,12,3.4657838,6.599932,4.960585,0.34862405
No Thermals (Heat),PM10,12,9.243587,16.805786,27.052336,0.22210789
No Thermals (Heat),PM2.5,12,2.6551042,9.689838,5.168503,0.28324342
No Thermals (Heat),O3,18,7.1758523,6.582375,9.211722,0.36372072
No Thermals (Heat),SO2,18,0.34204057,5.612027,0.565931,0.26604187
No Thermals (Heat),CO,18,0.1048465,0.24489881,0.13831016,0.29686373
No Thermals (Heat),NO2,18,3.23068,7.893495,4.657337,0.42164034
No Thermals (Heat),PM10,18,9.377514,16.89273,27.220299,0.20964032
No Thermals (Heat),PM2.5,18,2.5622559,11.075693,5.1507654,0.28076893
No Thermals (Heat),O3,24,6.881768,9.413027,8.878273,0.41440165
No Thermals (Heat),SO2,24,0.3356184,5.660982,0.56371754,0.26966017
No Thermals (Heat),CO,24,0.104365036,0.2543012,0.13721696,0.30446482
No Thermals (Heat),NO2,24,3.2608829,9.044642,4.677907,0.4147184
No Thermals (Heat),PM10,24,9.596924,16.975986,27.700056,0.17687076
No Thermals (Heat),PM2.5,24,2.5802271,11.173242,5.22174,0.24916196
No Thermals (Heat),O3,30,7.219568,9.290174,9.164639,0.38127238
No Thermals (Heat),SO2,30,0.3267823,5.7297454,0.5598522,0.27825528
No Thermals (Heat),CO,30,0.105265476,0.22819893,0.13802576,0.2944888
No Thermals (Heat),NO2,30,3.2872596,7.1908355,4.708804,0.40573978
No Thermals (Heat),PM10,30,9.586111,17.305986,27.791483,0.17048079
No Thermals (Heat),PM2.5,30,2.6506982,9.9479065,5.213894,0.24346572
No Thermals (Heat),O3,36,7.2040467,7.7699246,9.20704,0.38279754
No Thermals (Heat),SO2,36,0.33594683,5.5900955,0.5606905,0.27501822
No Thermals (Heat),CO,36,0.105987065,0.23894563,0.13864706,0.287844
No Thermals (Heat),NO2,36,3.3624465,7.0682836,4.800309,0.38254678
No Thermals (Heat),PM10,36,9.720464,17.085556,27.401455,0.19367808
No Thermals (Heat),PM2.5,36,2.681221,10.744176,5.2566257,0.23072731
No Thermals (Heat),O3,42,6.8662043,8.021677,8.972578,0.418831
No Thermals (Heat),SO2,42,0.34768915,5.529253,0.56745374,0.25577378
No Thermals (Heat),CO,42,0.10451352,0.25022528,0.13812466,0.28396642
No Thermals (Heat),NO2,42,3.2910194,8.094523,4.7207303,0.40031528
