Scenario,Pollutant,Horizon,MAE,Crisis_MAE,
No Smoke,O3,12,3.366456747,4.693214417,
No Smoke,O3,18,3.153789282,4.6644454,
No Smoke,O3,24,3.101667404,4.814860821,
No Smoke,O3,30,3.139622211,4.660014629,
No Smoke,O3,36,3.264509678,4.483857155,
No Smoke,O3,42,3.220826149,4.572414875,
No Smoke,O3,48,3.241632462,4.556365013,
No Smoke,O3,54,3.210576296,4.515383244,
No Smoke,O3,60,3.215506077,4.548633575,
No Smoke,O3,66,3.225526571,4.643937588,
No Smoke,O3,72,3.29735446,4.737877846,
No Smoke,SO2,6,9.121818542,18.39455605,
No Smoke,SO2,12,9.064687729,17.78901291,
No Smoke,SO2,18,9.123383522,17.43581009,
No Smoke,SO2,24,9.271945953,17.25399399,
No Smoke,SO2,30,9.348348618,17.50494957,
No Smoke,SO2,36,9.595191956,17.12408257,
No Smoke,SO2,42,9.712395668,17.10925484,
No Smoke,SO2,48,9.668427467,16.99159431,
No Smoke,SO2,54,9.634202003,17.17160225,
No Smoke,SO2,60,9.522437096,17.57153893,
No Smoke,SO2,66,9.535755157,17.88369942,
No Smoke,SO2,72,9.68625164,17.90138435,
No Smoke,PM2.5,6,2.399759293,4.413396358,
No Smoke,PM2.5,12,2.425115108,4.428661346,
No Smoke,PM2.5,18,2.437782526,4.467060566,
No Smoke,PM2.5,24,2.449385405,4.588000774,
No Smoke,PM2.5,30,2.502814531,4.568726063,
No Smoke,PM2.5,36,2.569996595,4.592051029,
No Smoke,PM2.5,42,2.592988968,4.541617393,
No Smoke,PM2.5,48,2.610941648,4.522973061,
No Smoke,PM2.5,54,2.577648878,4.560773849,
No Smoke,PM2.5,60,2.546642303,4.626905918,
No Smoke,PM2.5,66,2.566819906,4.652900219,
No Smoke,PM2.5,72,2.588747263,4.766463757,
Blind (Pollution Only),PM10,6,0.010779804,0.010798276,
Blind (Pollution Only),PM10,12,0.010702342,0.011228668,
Blind (Pollution Only),PM10,18,0.010555781,0.010914825,
Blind (Pollution Only),PM10,24,0.010130127,0.013129625,
Blind (Pollution Only),PM10,30,0.011083283,0.009507247,
Blind (Pollution Only),PM10,36,0.010680294,0.01109228,
Blind (Pollution Only),PM10,42,0.010695734,0.014696622,
Blind (Pollution Only),PM10,48,0.012269462,0.020179763,
Blind (Pollution Only),PM10,54,0.010795581,0.015320302,
Blind (Pollution Only),PM10,60,0.011638192,0.017346833,
Blind (Pollution Only),PM10,66,0.011126325,0.016313694,
Blind (Pollution Only),PM10,72,0.011383117,0.018135194,
Blind (Pollution Only),NO2,6,0.887117028,0.590418339,
Blind (Pollution Only),NO2,12,0.551883399,0.599386811,
Blind (Pollution Only),NO2,18,1.019095063,0.620821953,
Blind (Pollution Only),NO2,24,0.710151911,0.613764167,
Blind (Pollution Only),NO2,30,0.932400763,0.633451104,
Blind (Pollution Only),NO2,36,0.554730475,0.634637833,
Blind (Pollution Only),NO2,42,1.65128696,0.667492092,
Blind (Pollution Only),NO2,48,0.837222457,0.627138972,
Blind (Pollution Only),NO2,54,1.474758983,0.702829063,
Blind (Pollution Only),NO2,60,0.669751167,0.654603243,
Blind (Pollution Only),NO2,66,2.32967782,0.764746487,
Blind (Pollution Only),NO2,72,1.093057156,0.65998739,
Blind (Pollution Only),CO,6,0.167421684,0.155198961,
Blind (Pollution Only),CO,12,0.178407356,0.123284347,
Blind (Pollution Only),CO,18,0.213875428,0.133813471,
Blind (Pollution Only),CO,24,0.207247451,0.120787151,
Blind (Pollution Only),CO,30,0.163631529,0.155716717,
Blind (Pollution Only),CO,36,0.185916066,0.13615635,
Blind (Pollution Only),CO,42,0.199481875,0.151637629,
Blind (Pollution Only),CO,48,0.170627519,0.140370354,
Blind (Pollution Only),CO,54,0.138195589,0.200356781,
Blind (Pollution Only),CO,60,0.166847914,0.154854402,
Blind (Pollution Only),CO,66,0.205049917,0.165179566,
Blind (Pollution Only),CO,72,0.187468797,0.16191043,
Blind (Pollution Only),O3,6,4.210852623,8.580357552,
Blind (Pollution Only),O3,12,5.737597466,5.582393169,
Blind (Pollution Only),O3,18,5.239855766,6.150316238,
Blind (Pollution Only),O3,24,5.282874584,6.132914543,
Blind (Pollution Only),O3,30,4.181210041,9.845026016,
Blind (Pollution Only),O3,36,5.041680813,6.794257164,
Blind (Pollution Only),O3,42,4.798040867,7.515157223,
Blind (Pollution Only),O3,48,5.027879238,7.10854435,
Blind (Pollution Only),O3,54,4.174227715,10.29158783,
Blind (Pollution Only),O3,60,4.783952236,8.112165451,
