Scenario,Pollutant,Horizon,MAE,Crisis_MAE,RMSE,R2
No Fire & Smoke,CO,42,0.10372702,0.22635123,0.1361726,0.3040623
No Fire & Smoke,NO2,42,3.2190459,7.111897,4.634532,0.4220153
No Fire & Smoke,PM10,42,9.699224,16.407742,27.266893,0.20549196
No Fire & Smoke,PM2.5,42,2.5895069,10.210281,5.1818786,0.2538551
No Fire & Smoke,O3,48,7.199422,9.899318,9.275833,0.38332438
No Fire & Smoke,SO2,48,0.3387357,5.5733194,0.5569546,0.27294564
No Fire & Smoke,CO,48,0.10191033,0.24741381,0.13433784,0.31864786
No Fire & Smoke,NO2,48,3.2396722,7.015295,4.679457,0.40966117
No Fire & Smoke,PM10,48,9.655273,16.299278,26.831127,0.23080039
No Fire & Smoke,PM2.5,48,2.6072416,10.32037,5.187818,0.24945009
No Fire & Smoke,O3,54,7.3283587,10.342077,9.484166,0.3602882
No Fire & Smoke,SO2,54,0.33255705,5.6117926,0.55361974,0.2749353
No Fire & Smoke,CO,54,0.101182915,0.24547906,0.13373779,0.323066
No Fire & Smoke,NO2,54,3.2086124,7.0314207,4.647667,0.4168927
No Fire & Smoke,PM10,54,9.623258,16.47204,27.083822,0.21613383
No Fire & Smoke,PM2.5,54,2.574214,10.351719,5.1662846,0.25445497
No Fire & Smoke,O3,60,7.627416,8.717239,9.867203,0.31518024
No Fire & Smoke,SO2,60,0.33676618,5.6066217,0.5573171,0.26450503
No Fire & Smoke,CO,60,0.1020316,0.23853701,0.13485162,0.31110722
No Fire & Smoke,NO2,60,3.2133267,7.326243,4.633341,0.42049348
No Fire & Smoke,PM10,60,9.512264,16.838333,27.370213,0.1996088
No Fire & Smoke,PM2.5,60,2.543657,10.582923,5.1572914,0.25684398
No Fire & Smoke,O3,66,7.029201,7.074275,9.337074,0.3916511
No Fire & Smoke,SO2,66,0.33965582,5.6471934,0.5610079,0.25290084
No Fire & Smoke,CO,66,0.104273565,0.23514734,0.13697241,0.2819351
No Fire & Smoke,NO2,66,3.222887,7.4571877,4.661795,0.4114377
No Fire & Smoke,PM10,66,9.525668,17.13844,27.667582,0.18123835
No Fire & Smoke,PM2.5,66,2.5636353,10.543735,5.1752667,0.24819428
No Fire & Smoke,O3,72,7.074797,8.866794,9.293093,0.4017523
No Fire & Smoke,SO2,72,0.34107217,5.705222,0.5619955,0.24550587
No Fire & Smoke,CO,72,0.10293721,0.25433102,0.13547464,0.2929036
No Fire & Smoke,NO2,72,3.2942,7.640266,4.740256,0.3903876
No Fire & Smoke,PM10,72,9.676168,17.160566,28.262785,0.14630568
No Fire & Smoke,PM2.5,72,2.5856698,10.898875,5.216782,0.23557419
Blind (Pollution Only),O3,6,10.779804,16.510984,14.619704,-0.6408516
Blind (Pollution Only),SO2,6,0.887117,5.1454344,15.492241,-546.4037
Blind (Pollution Only),CO,6,0.16742168,0.3602397,0.31659082,-2.6415846
Blind (Pollution Only),NO2,6,4.2108526,16.636349,5.813808,0.107533455
Blind (Pollution Only),PM10,6,27.589878,26.864685,52.450634,-1.9237723
Blind (Pollution Only),PM2.5,6,28.123621,30.01673,45.091938,-53.81451
Blind (Pollution Only),O3,12,10.702343,17.695354,14.302115,-0.54908216
Blind (Pollution Only),SO2,12,0.5518834,5.149972,2.0298002,-8.413631
Blind (Pollution Only),CO,12,0.17840736,0.30542445,0.22849403,-0.8968686
Blind (Pollution Only),NO2,12,5.7375975,11.959669,7.2815204,-0.40349257
Blind (Pollution Only),PM10,12,28.545769,27.586342,53.725826,-2.0681462
Blind (Pollution Only),PM2.5,12,26.801619,27.228712,39.04335,-39.901222
Blind (Pollution Only),O3,18,10.555779,16.980556,14.108441,-0.49253392
Blind (Pollution Only),SO2,18,1.0190951,5.2726912,18.530905,-785.93256
Blind (Pollution Only),CO,18,0.21387543,0.3217346,0.47984964,-7.463336
Blind (Pollution Only),NO2,18,5.239856,13.256006,6.6327004,-0.17301452
Blind (Pollution Only),PM10,18,26.051304,24.102175,90.77553,-7.789751
Blind (Pollution Only),PM2.5,18,30.251385,29.096704,85.19462,-195.76564
Blind (Pollution Only),O3,24,10.130129,19.389977,13.802328,-0.41529667
Blind (Pollution Only),SO2,24,0.7101519,5.0644264,7.8409057,-140.29744
Blind (Pollution Only),CO,24,0.20724745,0.29117304,0.30086255,-2.3437965
Blind (Pollution Only),NO2,24,5.2828746,13.667681,6.6090813,-0.1682719
Blind (Pollution Only),PM10,24,26.89503,23.356789,66.11712,-3.689587
Blind (Pollution Only),PM2.5,24,19.946728,18.140554,26.953062,-19.0047
Blind (Pollution Only),O3,30,11.083284,15.025756,14.949052,-0.64625096
Blind (Pollution Only),SO2,30,0.93240076,5.29149,17.136984,-675.2475
Blind (Pollution Only),CO,30,0.16363153,0.37129375,0.28077576,-1.9194622
Blind (Pollution Only),NO2,30,4.18121,18.298119,6.0939445,0.0047037005
Blind (Pollution Only),PM10,30,22.39442,20.098078,44.086246,-1.0874171
Blind (Pollution Only),PM2.5,30,14.84729,11.889613,20.379894,-10.558676
Blind (Pollution Only),O3,36,10.68029,17.574942,14.435712,-0.517274
Blind (Pollution Only),SO2,36,0.5547305,5.23341,3.250049,-23.359058
Blind (Pollution Only),CO,36,0.18591607,0.33895278,0.29826033,-2.2956781
Blind (Pollution Only),NO2,36,5.041681,14.498066,6.448346,-0.11419797
Blind (Pollution Only),PM10,36,24.105474,21.230255,55.430893,-2.299628
Blind (Pollution Only),PM2.5,36,15.027915,12.150736,20.464773,-10.659504
Blind (Pollution Only),O3,42,10.695738,21.99425,14.279997,-0.47205544
Blind (Pollution Only),SO2,42,1.651287,5.2953076,33.22204,-2549.9187
Blind (Pollution Only),CO,42,0.19948187,0.3642569,0.5038535,-8.527951
Blind (Pollution Only),NO2,42,4.798041,15.506122,6.2195106,-0.040919185
Blind (Pollution Only),PM10,42,17.52406,17.75722,37.84617,-0.530632
Blind (Pollution Only),PM2.5,42,14.368812,12.260154,19.340122,-9.393628
Blind (Pollution Only),O3,48,12.2694645,27.920088,15.886658,-0.80890596
Blind (Pollution Only),SO2,48,0.83722246,5.2018013,12.493837,-364.8634
Blind (Pollution Only),CO,48,0.17062752,0.35540444,0.24004073,-1.1754284
Blind (Pollution Only),NO2,48,5.027879,15.235783,6.4187617,-0.11074126
Blind (Pollution Only),PM10,48,18.992395,17.87173,36.084003,-0.39120328
Blind (Pollution Only),PM2.5,48,13.040696,10.902689,17.070831,-7.1267977
Blind (Pollution Only),O3,54,10.795582,22.58127,14.62056,-0.52024686
Blind (Pollution Only),SO2,54,1.474759,5.425677,33.736614,-2691.5051
Blind (Pollution Only),CO,54,0.13819559,0.42629766,0.21027555,-0.6734611
Blind (Pollution Only),NO2,54,4.1742277,18.941349,6.0751767,0.003685832
Blind (Pollution Only),PM10,54,18.676857,17.958746,33.96167,-0.23253739
Blind (Pollution Only),PM2.5,54,9.853665,9.572714,13.040015,-3.7497797
Blind (Pollution Only),O3,60,11.638194,25.466908,15.763885,-0.74789226
Blind (Pollution Only),SO2,60,0.66975117,5.3725543,11.69989,-323.14444
Blind (Pollution Only),CO,60,0.16684791,0.3749942,0.2360671,-1.1111071
Blind (Pollution Only),NO2,60,4.783952,16.542112,6.289931,-0.06797612
Blind (Pollution Only),PM10,60,19.029167,18.4641,40.08112,-0.71642816
Blind (Pollution Only),PM2.5,60,9.6749935,9.530606,12.786839,-3.568388
Blind (Pollution Only),O3,66,11.126325,24.058475,14.849156,-0.5386317
Blind (Pollution Only),SO2,66,2.3296778,5.467228,47.38718,-5329.4272
Blind (Pollution Only),CO,66,0.20504992,0.38471285,0.4713995,-7.505028
Blind (Pollution Only),NO2,66,4.72322,16.982632,6.2626796,-0.062200546
Blind (Pollution Only),PM10,66,25.363363,23.852407,133.77188,-18.140127
Blind (Pollution Only),PM2.5,66,11.544031,10.1687975,25.198463,-16.823305
Blind (Pollution Only),O3,72,11.383117,25.332745,14.916243,-0.5412724
Blind (Pollution Only),SO2,72,1.0930572,5.363216,18.896917,-852.0453
Blind (Pollution Only),CO,72,0.1874688,0.3827493,0.34717688,-3.643701
Blind (Pollution Only),NO2,72,4.940519,16.457937,6.458163,-0.13153553
Blind (Pollution Only),PM10,72,16.909575,18.778872,42.488197,-0.9293417
Blind (Pollution Only),PM2.5,72,8.714862,9.515126,11.410057,-2.6568363
